id,video_id,decision,openai,old_peak_score,new_score,delta,pos_score,neg_score,passes_new_gate,new_best_cue,old_best_cue,error,source_url,image_url
227,jewish_life_in_munkatch_march_1933_complete,accept,keep,0.1433,0.0916,-0.0517,0.3121,0.2204,True,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://litter.catbox.moe/p43jd3.jpg
228,jewish_life_in_munkatch_march_1933_complete,accept,keep,0.1205,0.0583,-0.0622,0.2514,0.1931,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://litter.catbox.moe/a8sh4a.jpg
229,jewish_life_in_munkatch_march_1933_complete,accept,keep,0.1208,0.0464,-0.0744,0.2316,0.1852,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://litter.catbox.moe/5ku0xm.jpg
230,jewish_life_in_munkatch_march_1933_complete,accept,drop,0.1072,0.0769,-0.0303,0.3085,0.2316,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://litter.catbox.moe/rdpieo.jpg
231,jewish_life_in_munkatch_march_1933_complete,accept,keep,0.1033,0.0768,-0.0265,0.3031,0.2263,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Orthodox Jewish man with beard sidelocks black hat and kapote coat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://files.catbox.moe/70tc6g.jpg
232,jewish_life_in_munkatch_march_1933_complete,accept,keep,0.1044,0.0526,-0.0518,0.2828,0.2302,False,elderly Orthodox Jewish rabbi with long white beard black hat and dark coat,Orthodox Jewish man with beard sidelocks black hat and kapote coat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://files.catbox.moe/ymn2je.jpg
233,jewish_life_in_munkatch_march_1933_complete,accept,keep,0.1347,0.0347,-0.1,0.2295,0.1948,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://litter.catbox.moe/fb3scf.jpg
234,jewish_life_in_munkatch_march_1933_complete,accept,keep,0.1057,0.0079,-0.0978,0.2008,0.1929,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.youtube.com/watch?v=tdkNbcpCTc0,https://litter.catbox.moe/uelknm.jpg
235,2018_anniversaries_politics_british_path,reject,drop,0.1125,-0.0683,-0.1808,0.1988,0.2671,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.youtube.com/watch?v=GDGSOy-tFug,https://litter.catbox.moe/4gbd6o.jpg
236,cuts_out_takes_from_cp_382_corfu_and_twist_hairstyles,reject,keep,0.1225,0.0573,-0.0652,0.3144,0.2571,False,elderly Orthodox Jewish rabbi with long white beard black hat and dark coat,Orthodox Jewish man with beard sidelocks black hat and kapote coat,,https://www.britishpathe.com/asset/36431/,https://files.catbox.moe/0a0z87.jpg
237,selected_originals_the_royal_wedding,reject,drop,0.1018,-0.0632,-0.165,0.1059,0.1691,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.britishpathe.com/asset/190118/,https://litter.catbox.moe/fc5hzi.jpg
238,russian_revolution_compilation_reel_1,reject,drop,0.1203,0.0179,-0.1024,0.2968,0.2788,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.britishpathe.com/asset/206743/,https://files.catbox.moe/kkaqnx.jpg
239,emancipation_of_women,reject,drop,0.1167,-0.073,-0.1897,0.1047,0.1777,False,group of Hasidic Jewish men in black coats streimels hats and payot,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.britishpathe.com/asset/96350/,
240,in_palestine_today,accept,keep,0.1042,0.0756,-0.0286,0.3205,0.2449,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic Jewish man wearing a large round shtreimel fur hat,,https://www.britishpathe.com/asset/45801/,https://litter.catbox.moe/i798g4.jpg
241,in_palestine_today,accept,keep,0.1034,0.0546,-0.0488,0.26,0.2053,False,group of Hasidic Jewish men in black coats streimels hats and payot,Orthodox Jewish man with beard sidelocks black hat and kapote coat,,https://www.britishpathe.com/asset/45801/,https://litter.catbox.moe/dq954m.jpg
242,in_palestine_today,accept,keep,0.1009,0.0469,-0.054,0.2912,0.2443,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.britishpathe.com/asset/45801/,https://litter.catbox.moe/78s7un.jpg
243,in_palestine_today,accept,keep,0.1167,0.0468,-0.0699,0.2303,0.1834,False,group of Hasidic Jewish men in black coats streimels hats and payot,Orthodox Jewish man with beard sidelocks black hat and kapote coat,,https://www.britishpathe.com/asset/45801/,https://litter.catbox.moe/cyq4j2.jpg
244,selected_originals_royal_spring_wedding_technicolor,reject,drop,0.1007,-0.0682,-0.1689,0.1271,0.1953,False,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,Hasidic rebbe with white beard sidelocks and shtreimel fur hat,,https://www.britishpathe.com/asset/86602/,https://litter.catbox.moe/53amo4.jpg
245,galway_win_the_final,reject,keep,0.1173,-0.007,-0.1243,0.2348,0.2418,False,elderly Orthodox Jewish rabbi with long white beard black hat and dark coat,elderly Orthodox Jewish rabbi with long white beard and black hat,,https://www.britishpathe.com/asset/86835/,https://litter.catbox.moe/mfeyq5.jpg
